ID,Target_07_AUC,Target_90_AUC,Target_120_AUC,Target_07_LogLoss,Target_90_LogLoss,Target_120_LogLoss
ID_LEG1GM,0,0,0,0,0,0
ID_1UKOKW,0,0,0,0,0,0
ID_U5H2YK,0,0,0,0,0,0
ID_55957A,0,0,0,0,0,0
ID_N1AC0A,0,0,0,0,0,0
ID_4R3SGT,0,0,0,0,0,0
ID_NVW38U,0,0,0,0,0,0
ID_15LAWX,0,0,0,0,0,0
ID_DPNOLZ,0,0,0,0,0,0
ID_GXO4MZ,0,0,0,0,0,0
ID_TWJ95S,0,0,0,0,0,0
ID_F6RQR5,0,0,0,0,0,0
ID_OD0S5Q,0,0,0,0,0,0
ID_L4DEEY,0,0,0,0,0,0
ID_H0WWMP,0,0,0,0,0,0
ID_NK0GGQ,0,0,0,0,0,0
ID_C3E07L,0,0,0,0,0,0
ID_8ZHOIS,0,0,0,0,0,0
ID_WEM7E6,0,0,0,0,0,0
ID_EI276D,0,0,0,0,0,0
ID_WY9YFZ,0,0,0,0,0,0
ID_VGITCI,0,0,0,0,0,0
ID_NHFYZX,0,0,0,0,0,0
ID_PZPP2T,0,0,0,0,0,0
ID_YSGK3Y,0,0,0,0,0,0
ID_RT29AK,0,0,0,0,0,0
ID_AUK2TM,0,0,0,0,0,0
ID_QZA91L,0,0,0,0,0,0
ID_CWTE3D,0,0,0,0,0,0
ID_E04V5D,0,0,0,0,0,0
ID_XTGV9Y,0,0,0,0,0,0
ID_ADLLTR,0,0,0,0,0,0
ID_938PPA,0,0,0,0,0,0
ID_68PA5Q,0,0,0,0,0,0
ID_EJJIM0,0,0,0,0,0,0
ID_9EEUE8,0,0,0,0,0,0
ID_EZ948R,0,0,0,0,0,0
ID_E0HFQZ,0,0,0,0,0,0
ID_KGXIB9,0,0,0,0,0,0
ID_ZXY6XK,0,0,0,0,0,0
ID_TEKWLH,0,0,0,0,0,0
ID_BWUBOA,0,0,0,0,0,0
ID_0KPGAQ,0,0,0,0,0,0
ID_3LJO3C,0,0,0,0,0,0
ID_WRG2RD,0,0,0,0,0,0
