iter	Passed	Remaining
0	95	95339
1	115	57631
2	130	43528
3	153	38129
4	172	34234
5	193	32131
6	216	30659
7	239	29699
8	256	28283
9	275	27286
10	293	26358
11	309	25508
12	326	24785
13	342	24112
14	366	24061
15	382	23524
16	404	23372
17	425	23195
18	447	23090
19	466	22880
20	493	23017
21	531	23639
22	557	23693
23	580	23598
24	596	23270
25	613	22979
26	629	22691
27	647	22491
28	664	22236
29	680	22002
30	696	21762
31	713	21575
32	727	21323
33	742	21107
34	761	20988
35	779	20884
36	794	20676
37	808	20460
38	824	20327
39	841	20184
40	859	20093
41	878	20031
42	893	19886
43	910	19785
44	925	19635
45	941	19521
46	957	19412
47	973	19308
48	990	19227
49	1007	19133
50	1022	19029
51	1038	18936
52	1056	18884
53	1071	18762
54	1086	18667
55	1099	18537
56	1113	18429
57	1129	18342
58	1144	18253
59	1160	18173
60	1175	18092
61	1188	17987
62	1202	17881
63	1216	17789
64	1231	17709
65	1246	17641
66	1261	17566
67	1275	17479
68	1290	17412
69	1304	17337
70	1320	17274
71	1335	17207
72	1349	17141
73	1363	17056
74	1378	17005
75	1393	16935
76	1407	16875
77	1422	16820
78	1434	16717
79	1449	16671
80	1464	16619
81	1480	16575
82	1495	16521
83	1507	16440
84	1523	16399
85	1543	16407
86	1562	16394
87	1576	16338
88	1589	16274
89	1603	16211
90	1616	16147
91	1631	16097
92	1647	16064
93	1663	16034
94	1679	15999
95	1697	15981
96	1717	15985
97	1732	15945
98	1746	15890
99	1766	15898
100	1783	15871
101	1801	15858
102	1817	15824
103	1832	15786
104	1850	15770
105	1859	15684
106	1874	15646
107	1891	15618
108	1906	15587
109	1922	15552
110	1938	15522
111	1954	15492
112	1968	15452
113	1983	15415
114	1997	15368
115	2013	15343
116	2032	15337
117	2048	15315
118	2062	15272
119	2079	15250
120	2096	15228
121	2115	15221
122	2129	15186
123	2144	15148
124	2161	15128
125	2176	15097
126	2190	15059
127	2205	15024
128	2220	14993
129	2234	14956
130	2249	14922
131	2261	14868
132	2275	14833
133	2287	14785
134	2302	14751
135	2324	14769
136	2339	14734
137	2355	14714
138	2371	14692
139	2387	14665
140	2403	14639
141	2417	14606
142	2435	14594
143	2450	14565
144	2465	14535
145	2480	14510
146	2500	14508
147	2517	14491
148	2557	14609
149	2603	14751
150	2642	14855
151	2664	14865
152	2693	14910
153	2745	15080
154	2765	15076
155	2781	15047
156	2800	15035
157	2816	15008
158	2832	14979
159	2849	14959
160	2864	14926
161	2878	14892
162	2895	14867
163	2915	14863
164	2933	14843
165	2951	14828
166	2971	14821
167	2983	14777
168	2998	14742
169	3019	14744
170	3033	14705
171	3049	14678
172	3064	14648
173	3077	14610
174	3090	14568
175	3105	14539
176	3120	14510
177	3136	14485
178	3155	14475
179	3194	14553
180	3212	14534
181	3232	14527
182	3249	14508
183	3266	14484
184	3288	14487
185	3305	14463
186	3321	14440
187	3338	14417
188	3352	14384
189	3368	14358
190	3387	14348
191	3403	14322
192	3421	14306
193	3435	14272
194	3449	14241
195	3464	14209
196	3477	14172
197	3492	14146
198	3505	14110
199	3523	14092
200	3537	14061
201	3553	14036
202	3570	14019
203	3587	13997
204	3602	13971
205	3615	13936
206	3630	13907
207	3650	13900
208	3667	13879
209	3683	13858
210	3701	13840
211	3715	13811
212	3730	13783
213	3748	13766
214	3764	13745
215	3782	13728
216	3798	13705
217	3813	13680
218	3831	13665
219	3850	13653
220	3867	13631
221	3882	13606
222	3903	13602
223	3923	13593
224	3940	13572
225	3955	13547
226	3974	13532
227	3989	13509
228	4010	13503
229	4028	13486
230	4045	13468
231	4060	13441
232	4077	13422
233	4092	13398
234	4112	13388
235	4128	13366
236	4144	13342
237	4164	13333
238	4183	13320
239	4204	13315
240	4225	13307
241	4250	13312
242	4269	13299
243	4287	13285
244	4309	13278
245	4327	13263
246	4349	13260
247	4382	13288
248	4408	13294
249	4428	13284
250	4451	13284
251	4472	13275
252	4494	13269
253	4510	13247
254	4531	13239
255	4550	13224
256	4570	13212
257	4590	13201
258	4608	13184
259	4630	13178
260	4649	13164
261	4672	13162
